participant,target_object,target_object_position,target_type,pretrial_text,setSize,response,rt,correct,face,race,condition_name,block_order,gridCheck,mouseRT,mouseCorr,Tnum_position,Dnum_position,Dnum2_position,Dnum3_position,rt2,rt3,rt4,number_timeouts,over_timeouts,number_errors,mouse_number_errors,Dstim_1_image,Dstim_1_position,Dstim_2_image,Dstim_2_position,Dstim_3_image,Dstim_3_position,Dstim_4_image,Dstim_4_position,Dstim_5_image,Dstim_5_position,Dstim_6_image,Dstim_6_position,Dstim_7_image,Dstim_7_position,Dstim_8_image,Dstim_8_position,Dstim_9_image,Dstim_9_position,Dstim_10_image,Dstim_10_position,Dstim_11_image,Dstim_11_position,Dstim_12_image,Dstim_12_position,Dstim_13_image,Dstim_13_position,Dstim_14_image,Dstim_14_position,Dstim_15_image,Dstim_15_position,Dstim_16_image,Dstim_16_position,Dstim_17_image,Dstim_17_position,Dstim_18_image,Dstim_18_position,Dstim_19_image,Dstim_19_position
10962,handgun_17,[-15.   -8.6],gun,Gun or Sodacan,20.0,q,920.0,True,WM-224,white,RaceB2,2.0,1.0,,,[-8.  0.],[-3.  0.],[8. 0.],[3. 0.],920.0,920.0,920.0,0,0,0,0,tent_6,[-21.   -12.04],earings_13,[-9.  -8.6],gift_17,[-15.    -5.16],breadloaf_16,[-21.    -5.16],bench_5,[15.   12.04],helmet_8,[9.  8.6],babushkadolls_9,[3.   5.16],razor_5,[21.    5.16],doorknob_9,[21.   12.04],microwave_17,[-9.    5.16],bagel_15,[-21.     1.72],chessboard_9,[-15.     1.72],suit_6,[-9.   8.6],coin_5,[-21.    8.6],scrunchie_3,[  3.   -12.04],tv_16,[ 9.  -8.6],muffins_3,[ 21.   -12.04],leaves_16,[15.  -8.6],cupsaucer_4,[21.   -1.72]
10962,handgun_9,[-21.   -12.04],gun,Gun or VideoGameController,12.0,q,843.0,True,WM-033,white,RaceB2,2.0,1.0,,,[8. 0.],[3. 0.],[-3.  0.],[-8.  0.],843.0,843.0,843.0,0,0,0,0,stool_4,[ -9.   -12.04],rollerskates_3,[-21.    -5.16],scale_10,[ 3.   12.04],doll_9,[21.   12.04],bench_17,[9.   1.72],cigarette_15,[-3.    5.16],babushkadolls_10,[-9.    5.16],mp3player_10,[-21.     5.16],suit_1,[  9.   -12.04],wineglass_6,[ 9.  -8.6],powerstrip_12,[ 15.   -12.04],sandwich_2,[1000. 1000.],computer_key_2,[1000. 1000.],goggle_13,[1000. 1000.],trumpet_4,[1000. 1000.],ceilingfan_2,[1000. 1000.],dollhouse_9,[1000. 1000.],headphone_10,[1000. 1000.],chessboard_11,[1000. 1000.]
10962,handgun_14,[21.    1.72],gun,Gun or Cellphone,16.0,q,1077.0,True,BM-029,black,RaceB2,2.0,0.0,1.3744433040264994,True,[8. 0.],[-8.  0.],[3. 0.],[-3.  0.],1077.0,1077.0,1077.0,0,0,0,0,doll_10,[9.   1.72],basket_14,[ 9.   12.04],wineglass_9,[21.    5.16],microscope_14,[-3.   8.6],ceilingfan_17,[-9.   12.04],saltpeppershake_12,[-15.     5.16],crib_15,[-21.    12.04],pen_6,[ 3.  -8.6],wig_1,[  9.   -12.04],cushion_5,[ 9.   -1.72],trunk_9,[ 9.   -5.16],beermug_16,[-15.    -5.16],bagel_1,[-21.   -12.04],stamp_5,[-3.  -8.6],gift_14,[-15.   -12.04],muffins_13,[1000. 1000.],doorknob_15,[1000. 1000.],domino_13,[1000. 1000.],snowglobe_15,[1000. 1000.]
10962,Sodacan_2,[-9.  -8.6],nongun,Gun or Sodacan,20.0,p,2869.0,True,BM-205,black,RaceB2,2.0,1.0,,,[3. 0.],[8. 0.],[-3.  0.],[-8.  0.],2869.0,2869.0,2869.0,0,0,0,0,beermug_10,[-15.   -12.04],dumbbell_7,[-3.  -8.6],barbiedoll_4,[ -3.   -12.04],magazinecovers_5,[-9.   -1.72],bed_2,[15.    1.72],gift_5,[3.   5.16],trunk_1,[15.   8.6],patioloungechair_11,[9.   1.72],leaves_2,[9.   5.16],pokercard_12,[-15.    12.04],stamp_1,[-3.   12.04],mushroom_13,[-21.    12.04],trophy_7,[-9.    5.16],pitcher_15,[-9.   12.04],carfront_3,[ 9.   -5.16],collar_3,[21.  -8.6],decorativescreen_8,[21.   -5.16],bearteddy_3,[ 3.  -8.6],ball_15,[15.   -1.72]
10962,handgun_12,[3.   5.16],gun,Hairbrush or Gun,20.0,q,617.0,True,BM-216,black,RaceB2,2.0,1.0,,,[8. 0.],[3. 0.],[-8.  0.],[-3.  0.],617.0,617.0,617.0,0,0,0,0,chessboard_6,[9.   1.72],cheesegrater_17,[15.   8.6],windchime_17,[ 9.   12.04],cupsaucer_15,[9.   5.16],sandwich_10,[-9.    1.72],bongo_17,[-15.    8.6],babycarriage_13,[-21.     5.16],hanger_9,[-9.   8.6],muffins_16,[-9.    5.16],meat_13,[21.   -5.16],stamp_8,[ 9.   -1.72],tricycle_17,[  3.   -12.04],pitcher_14,[ 3.  -8.6],jack-o-lantern_16,[ 3.   -5.16],lantern_15,[-15.   -12.04],bill_8,[-21.    -5.16],cigarette_8,[-9.   -1.72],razor_17,[-9.   -5.16],frame_3,[ -9.   -12.04]
10962,handgun_2,[-21.     1.72],gun,Gun or Stapler,12.0,q,982.0,True,WM-213,white,RaceB2,2.0,1.0,,,[-8.  0.],[3. 0.],[-3.  0.],[8. 0.],982.0,982.0,982.0,0,0,0,0,helmet_12,[-3.    5.16],speakers_8,[-3.   12.04],flag_7,[15.    5.16],golfball_10,[3.  8.6],dog_10,[15.   12.04],lawnmower_6,[15.   -5.16],desk_17,[ 9.  -8.6],beermug_14,[  3.   -12.04],coin_6,[-21.   -12.04],wig_4,[ -9.   -12.04],necktie_3,[-3.   -5.16],mask_12,[1000. 1000.],dresser_11,[1000. 1000.],gift_4,[1000. 1000.],shoe_10,[1000. 1000.],button_9,[1000. 1000.],easteregg_redo_5,[1000. 1000.],nailpolish_8,[1000. 1000.],rock_9,[1000. 1000.]
10962,Sodacan_1,[3.  8.6],nongun,Sodacan or Gun,12.0,p,1668.0,True,WM-224,white,RaceB2,2.0,1.0,,,[3. 0.],[-3.  0.],[8. 0.],[-8.  0.],1668.0,1668.0,1668.0,0,0,0,0,bottle_5,[21.    5.16],frisbee_2,[15.   12.04],handbag_3,[-3.   8.6],wineglass_2,[-21.     1.72],tongs_2,[-15.    8.6],cheese_15,[15.   -1.72],bonzai_7,[15.  -8.6],christmastreeornamantball_16,[ 9.   -1.72],easteregg_redo_16,[-3.   -5.16],flag_15,[-9.   -5.16],cherubstatue_9,[-15.    -5.16],cheesegrater_12,[1000. 1000.],makeupcompact_16,[1000. 1000.],magazinecovers_2,[1000. 1000.],cookpot_10,[1000. 1000.],airplane_10,[1000. 1000.],beermug_13,[1000. 1000.],key_3,[1000. 1000.],coatrack_3,[1000. 1000.]
10962,Stapler_1,[ 3.   -5.16],nongun,Stapler or Gun,20.0,p,905.0,True,BM-040,black,RaceB2,2.0,1.0,,,[3. 0.],[-8.  0.],[-3.  0.],[8. 0.],905.0,905.0,905.0,0,0,0,0,toiletseat_7,[ 9.  -8.6],golfball_14,[ 3.  -8.6],tricycle_15,[ 15.   -12.04],vase_13,[15.   -1.72],coffeemug_10,[21.    1.72],domino_15,[15.   8.6],tape_5,[21.   8.6],ball_9,[9.   5.16],tent_7,[3.  8.6],recordplayer_1,[-9.   8.6],baseballcards_6,[-3.   12.04],stool_3,[-21.     1.72],powerstrip_14,[-15.     1.72],chair_7,[-3.    5.16],headphone_7,[-3.  -8.6],toothpaste_9,[-21.   -12.04],bucket_15,[-3.   -5.16],roadsign_11,[-21.    -5.16],patioloungechair_16,[-15.   -8.6]
10962,Flashlight_2,[15.   -5.16],nongun,Gun or Flashlight,12.0,p,861.0,True,BM-214,black,RaceB2,2.0,1.0,,,[8. 0.],[3. 0.],[-8.  0.],[-3.  0.],861.0,861.0,861.0,0,0,0,0,wig_8,[15.   -1.72],mask_10,[ 3.   -5.16],saltpeppershake_15,[21.    5.16],golfball_13,[21.   8.6],nailpolish_11,[9.  8.6],chair_10,[-15.     5.16],toiletseat_10,[-3.   8.6],meat_4,[-9.   8.6],barbiedoll_1,[-15.   -8.6],breadloaf_6,[-9.   -1.72],butterfly_10,[-15.    -1.72],button_4,[1000. 1000.],bathsuit_14,[1000. 1000.],cake_4,[1000. 1000.],pants_5,[1000. 1000.],scale_15,[1000. 1000.],cookpot_9,[1000. 1000.],headband_3,[1000. 1000.],cushion_14,[1000. 1000.]
10962,Cellphone_1,[-15.    -1.72],nongun,Cellphone or Gun,12.0,p,625.0,True,WM-017,white,RaceB2,2.0,1.0,,,[3. 0.],[-3.  0.],[-8.  0.],[8. 0.],625.0,625.0,625.0,0,0,0,0,trunk_10,[-21.    -1.72],grill_15,[-3.  -8.6],cushion_3,[ 3.   12.04],desk_5,[3.   5.16],lock_15,[21.    1.72],lawnmower_12,[-21.    12.04],bagel_4,[-15.    12.04],computer_key_5,[-9.    1.72],tablesmall_10,[21.   -5.16],basket_2,[ 9.  -8.6],trumpet_7,[ 3.  -8.6],leaves_10,[1000. 1000.],dollhouse_5,[1000. 1000.],rock_2,[1000. 1000.],clock_3,[1000. 1000.],orifan_15,[1000. 1000.],snowglobe_3,[1000. 1000.],razor_6,[1000. 1000.],garbagetrash_10,[1000. 1000.]
